Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Clipper,https://clipper.exchange,Clipper is the decentralized exchange (DEX) built to give the self-made crypto trader the best possible prices on small trades (< $10k),"['Ethereum', 'Arbitrum', 'Optimism', 'Polygon', 'Moonbeam']",Clipper_DEX,8945102.753015032,"{'Optimism': 513643.15000495006, 'Ethereum': 7580990.86868707, 'Polygon': 158106.82850271423, 'Arbitrum': 665935.1812905781, 'Moonbeam': 26426.724529719013}",Dexes
KlaySwap V3,https://klayswap.com/dashboard,KLAYswap is an AMM-based Instant Swap Protocol,['Klaytn'],KLAYswap,8658671.893400706,{'Klaytn': 8658671.893400706},Dexes
Cetus,https://www.cetus.zone,"Cetus is a pioneer DEX and concentrated liquidity protocol focusing on Move-based ecosystems like Aptos and Sui. It works as a crucial part of the ecosystem infrastructure to satisfy the comprehensive needs of traders, LPs, upper applications and an increasing DeFi population.","['Sui', 'Aptos']",CetusProtocol,8412849.855223736,"{'Sui': 8333883.037541961, 'Aptos': 78966.81768177378}",Dexes
WingRiders,https://www.wingriders.com,The DEX on Cardano. Native and fast AMM decentralized exchange platform.,['Cardano'],wingriderscom,8284234.091059464,"{'Cardano': 8284234.091059464, 'Cardano-staking': 1147450.4388354742, 'staking': 1147450.4388354742}",Dexes
mySwap,https://www.myswap.xyz,an AMM on top of StarkNet,['Starknet'],mySwapxyz,8175750.758166532,{'Starknet': 8175750.758166532},Dexes
Orderly Network,https://orderly.network,"Orderly is an omnichain CLOB infrastructure.It’s the ultimate trading lego for seamless integration by any builder on any blockchain. Give your app the transparency and composability of DEXs, with the speed and performance of CEXs.",['Near'],OrderlyNetwork,8072053.064981952,{'Near': 8072053.064981952},Dexes
Ouchi Finance,https://ouchi.finance,"Ouchi Finance aims to make people's concept of living, renting, and staying easier and more automatic. We provides user-friendly NFT platform and DEX functions (Swap, Liquidity, etc.) to realize the goal.",['Ethereum'],OuchiFinance,7958836.065189584,{'Ethereum': 7958836.065189584},Dexes
Shell Protocol,https://www.shellprotocol.io/,DeFi hub for users & builders. Breakthrough accounting architecture and AMM engine.,['Arbitrum'],ShellProtocol,7757390.932188398,{'Arbitrum': 7757390.932188398},Dexes
Gyroscope Protocol,https://app.gyro.finance/,"Gyroscope: an asset-backed stablecoin built on resilient DeFi infrastructure leveraging a diversified reserve, autonomous monetary policy, and innovative AMMs","['Polygon', 'Optimism', 'Ethereum']",GyroStable,7617338.673293101,"{'Optimism': 3432956.8715107404, 'Ethereum': 93067.08416167139, 'Polygon': 4091314.7176206885}",Dexes
Uniswap V1,https://uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum. V1
",['Ethereum'],Uniswap,7540344.172648703,{'Ethereum': 7540344.172648703},Dexes
