Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Ubeswap,https://ubeswap.org,Ubeswap is the leading DEX on Celo network!,['Celo'],ubeswap,1877771.4981203165,{'Celo': 1877771.4981203165},Dexes
Saddle Finance,https://saddle.finance/,Saddle is an automated market maker for pegged value crypto assets.,"['Ethereum', 'Arbitrum', 'Optimism', 'Evmos', 'Aurora', 'Fantom', 'Kava']",saddlefinance,1847268.082363728,"{'Optimism': 14404.633478160173, 'Kava': 0, 'Evmos': 2407.66540894215, 'Ethereum': 1531920.0985027396, 'Aurora': 1.999237, 'Arbitrum': 298532.1489475046, 'Fantom': 1.536789381522178}",Dexes
Libre Swap,https://dashboard.libre.org/swap,"DeFi for Bitcoin and Tether - Trade, Provide Liquidity, Farm - instant tx and no gas fees.",['Libre'],libreblockchain,1839251.0435172457,{'Libre': 1839251.0435172457},Dexes
Unicly,https://app.unic.ly,"Unicly is a permissionless protocol to combine, fractionalize, and trade NFTs. Users can fractionalize NFT collections into ""uTokens"", and trade them on a Sushiswap-fork AMM with liquidity incentives via liquidity mining.",['Ethereum'],uniclyNFT,1835484.0648786356,{'Ethereum': 1835484.0648786356},Dexes
FstSwap,https://fstswap.finance/#/swap,"FstSwap is an automated market maker (AMM) that allows the exchange of two tokens on Binance Smart Chain. It's fast, cheap, and allows anyone to participate.",['Binance'],FstSwapbright,1828938.3087183237,{'Binance': 1828938.3087183237},Dexes
ClaimSwap V1,https://claimswap.org/,"Swap, earn, and claim on the decentralized, community driven platform",['Klaytn'],claimswap,1822907.7285273543,"{'Klaytn-staking': 104525.86835931538, 'Klaytn': 1822907.7285273543, 'staking': 104525.86835931538}",Dexes
Ramses V1,https://app.ramses.exchange/swap,"RAMSES is a ve(3,3) DEX that masterfully adapts Andre Cronje's initial vision of Solidly. The original Solidly fundamentals have been long forgotten, and RAMSES aims to revitalize three core tenets: Community, Decentralization, and Functionality.",['Arbitrum'],RamsesExchange,1815476.235823504,"{'Arbitrum-staking': 2879298.3260787646, 'Arbitrum': 1815476.235823504, 'staking': 2879298.3260787646}",Dexes
NEOPIN Pool,https://app.neopin.io/swap,Provide liquidity directly to the pool of your choice and receive NPT in addition to the base rewards by using a non-custodial wallet NEOPIN Wallet.,"['Klaytn', 'Ethereum', 'Polygon']",NeopinOfficial,1811239.5276116007,"{'Ethereum': 245506.40147153044, 'Polygon': 120979.33760967906, 'Klaytn': 1444753.7885303914}",Dexes
Perlin,https://perlinx.finance/,"Democratizing the trading of real-world assets through decentralized liquidity pools and synthetic asset generation

",['Ethereum'],PerlinNetwork,1803927.1501696224,{'Ethereum': 1803927.1501696224},Dexes
Proton Dex,https://protondex.com,Dex on Proton Chain,['Proton'],ProtonXPR,1799517.2414986368,{'Proton': 1799517.2414986368},Dexes
WX Network,https://wx.network/,"Launched in 2017 as Waves DEX, WX Network is a robust platform for self-sovereign crypto management with a suite of investment tools in a convenient interface. WX.Network offers high transaction speed and an unprecedented level of security as users remain in sole control of their assets",['Waves'],WXNetwork,1779423.263334,"{'Waves': 1779423.263334, 'Waves-staking': 570323.510883, 'staking': 570323.510883}",Dexes
Proton Swap,https://www.protonswap.com/swap,Instant on-chain token swaps on Proton with 0 gas fee.,['Proton'],ProtonSwap,1768119.801465955,{'Proton': 1768119.801465955},Dexes
Parallel AMM,https://parallel.fi,"Parallel Finance is a Decentralized Money Market Protocol that offers lending, staking, and borrowing in the Polkadot ecosystem. Depositors can lend and stake simultaneously to earn double yield on their staked coins, and borrowers can collateralize to borrow.","['Parallel', 'Heiko']",ParallelFi,1757526.9076503855,"{'Heiko': 85382.42942567932, 'Parallel': 1672144.4782247061}",Dexes
Nerve Staking,https://nerve.network/,"Nerve is a decentralized digital asset service network based on the NULS micro-services framework, which uses the NULS ChainBox to develop a blockchain cross-chain interaction protocol.",['Nuls'],nerve_network,1748436,{'Nuls': 1748436},Dexes
Yoshi Exchange,https://yoshi.exchange,Yoshi.exchange is a DEX aggregator launching at Fantom Opera blockchain. We create the first closed-cycle united Fantom payment system. The main goal is to facilitate entry threshold to Fantom ecosystem for newcomers and to simplify the user experience for the current consumers.,"['Fantom', 'Binance']",YoshiExchange,1736478.5535595263,"{'Binance': 109681.35880321694, 'Fantom': 1626797.1947563095}",Dexes
Integral,https://integral.link/,"Integral is a new DeFi primitive that efficiently executes large orders. Its latest product, SIZE, is a OTC-style decentralized exchange. With built-in TWAP execution, SIZE enables DAOs and whales to trade with 0 price impact at any order size.","['Ethereum', 'Arbitrum']",IntegralHQ,1731226.069945344,"{'Ethereum': 1679290.8631134375, 'Arbitrum': 51935.20683190647}",Dexes
BSCSwap,https://bscswap.com/#/list,Superior cross-chain AMM with trader focused features,['Binance'],,1729006.539223838,"{'Binance': 1729006.539223838, 'Binance-staking': 0, 'staking': 0}",Dexes
CherrySwap,https://www.cherryswap.net,"CherrySwap is the automatic market-making protocol based on OKExChain(OEC). It adopts the mechanism of Automatic Market Maker (AMM) and aims to achieve self-driven liquidity creation with diversified functions such as liquidity mining, IFO, NFT, lottery, and DAO, so as to provide participants with the maximum value bonus.",['OKExChain'],CherryswapNet,1709336.7560436483,"{'OKExChain-staking': 35077.5384368512, 'OKExChain': 1709336.7560436483, 'staking': 35077.5384368512}",Dexes
Pangea Swap,https://pangeaswap.com,The First Concentrated Liquidity DEX on Klaytn.,['Klaytn'],Pangea_Swap,1683487.6866612083,{'Klaytn': 1683487.6866612083},Dexes
Solarbeam,https://app.solarbeam.io/exchange/swap,"Solarbeam is a decentralized exchange, providing liquidity and enabling peer-to-peer transactions on the Moonriver Network.",['Moonriver'],Solarbeamio,1655136.515775169,{'Moonriver': 1655136.515775169},Dexes
Definix,https://definix.com/en,"Definix is the transparent crypto investment platform on a multi-chain, with useful features that allows professional traders to earn more from their investing skills by creating and managing their own funds.","['Binance', 'Klaytn']",DefinixOfficial,1654458.2867074911,"{'Binance': 968034.9341489933, 'Klaytn': 686423.3525584977}",Dexes
Swapr,https://swapr.eth.link/#/swap,"A governance-enabled automated-market maker with adjustable fees, made by DXdao.","['xDai', 'Ethereum', 'Arbitrum']",SwaprEth,1647916.1475540344,"{'Ethereum': 132802.48247419816, 'xDai': 1398357.2649353116, 'Arbitrum': 116756.40014452461}",Dexes
FX Swap,https://fx-swap.io/#/swap,"A scalable, open and decentralized ecosystem, enabling all to build entirely on and for the blockchain.",['FunctionX'],FUNCTIONX_IO,1640669.286900928,{'FunctionX': 1640669.286900928},Dexes
Arbswap AMM,https://arbswap.io/,The #1 AMM and DEX on Arbitrum Nova powered by #Arbitrum.,"['Arbitrum', 'Arbitrum Nova']",ArbswapOfficial,1594164.6910654933,"{'Arbitrum Nova': 712533.5296022738, 'Arbitrum': 881631.1614632194}",Dexes
Tomb Swap,https://tomb.finance/,AMM DEX of the Tomb Finance ecosystem on Fantom,['Fantom'],tombfinance,1592247.7953527938,{'Fantom': 1592247.7953527938},Dexes
Nerve,https://nerve.fi,Nerve is a trustless bridge and stableswap AMM designed to on-ramp & trade pegged assets quickly with minimal slippage.,['Binance'],NerveFinance,1591285.8058686692,"{'Binance': 1591285.8058686692, 'Binance-staking': 5750.632173868519, 'staking': 5750.632173868519}",Dexes
Titano Swych,https://app.titano.finance/swap,Titano Dex,['Binance'],TitanoFinance,1563088.0709275217,{'Binance': 1563088.0709275217},Dexes
Synthswap V3,https://synthswap.io,Synthswap is one of the first decentralized exchanges (DEX) with an automated market-maker (AMM) in the Base ecosystem.,['Base'],synthswapio,1559151.542989762,{'Base': 1559151.542989762},Dexes
Vooi,https://vooi.io,Experience seamless stablecoin swaps on your favorite L2 networks. Discover better yields with single-token staking.,['Linea'],vooi_io,1550271.9967472379,{'Linea': 1550271.9967472379},Dexes
Tokenlon,https://tokenlon.im,Tokenlon is a decentralized exchange and payment settlement protocol based on blockchain technology,['Ethereum'],tokenlon,1540009.5077084745,"{'Ethereum': 1540009.5077084745, 'pool2': 69593.29801038685, 'Ethereum-staking': 31374169.397410326, 'staking': 31374169.397410326, 'Ethereum-pool2': 69593.29801038685}",Dexes
Tealswap,https://tealswap.com/dashboard,Tealswap is a decentralized exchange with automated market maker on Oasys hub-layer.,['Oasys'],tealswap,1537478.1110166395,{'Oasys': 1537478.1110166395},Dexes
YokaiSwap,https://www.yokaiswap.com,"YokaiSwap is a next generation interoperable, decentralized trading platform and the first to come from the Nervos network.","['GodwokenV1', 'Godwoken']",yokaiswap,1507262.6202516593,"{'Godwoken': 36231.6625070466, 'GodwokenV1-staking': 69937.70192826216, 'GodwokenV1': 1471030.9577446126, 'staking': 69937.70192826216}",Dexes
Eklipse Finance,https://eklipse.finance,Eklipse is the first stable swap in the Klaytn ecosystem. It is issued being inspired by Curve.fi. It is a decentralized exchange (DEX) that minimizes unnecessary losses from swaps between identical assets.,['Klaytn'],eklipseFinance,1496242.4217841434,"{'Klaytn-pool2': 10291.56520028697, 'pool2': 10291.56520028697, 'Klaytn-staking': 454686.7372718147, 'Klaytn': 1496242.4217841434, 'staking': 454686.7372718147}",Dexes
Bunicorn,https://bunicorn.exchange,Bunicorn is a highly performed AMM DEX that offers investors yield-earning opportunities through liquidity pools and liquidity farm mining with unique time-locked rewards wrapped into tradable NFTs. We aim to address the post-DeFi liquidity crisis through NFT vesting and turn the yield farming rewards into unique NFT collectibles that bring long-term value to both the community and project itself.,['Binance'],bunicornswap,1389135.0007056096,"{'Binance': 1389135.0007056096, 'Binance-staking': 95.54606240372505, 'staking': 95.54606240372505}",Dexes
QuipuSwap V2,https://quipuswap.com,QuipuSwap DEX 2.0 is a part of the growing QuipuSwap ecosystem. It provides a platform for better and more powerful trading. We intend to create a solution for the Tezos ecosystem akin to that Uniswap has created for Ethereum,['Tezos'],QuipuSwap,1370759.8837346227,{'Tezos': 1370759.8837346227},Dexes
Sirius Finance,https://www.sirius.finance,The first cross-chain stablecoin amm & LP center on Astarnetwork,['Astar'],Sirius_Finance,1367449.5104233858,"{'Astar': 1367449.5104233858, 'Astar-staking': 13690.8433887, 'staking': 13690.8433887}",Dexes
DackieSwap,https://dackieswap.xyz,Native and Most Trusted DEX on Base.,['Base'],DackieSwap,1331921.4117574175,{'Base': 1331921.4117574175},Dexes
Alien Base StableSwap,https://app.alienbase.xyz,Trade stablecoins in StableSwap with lower slippage and trading fees!,['Base'],AlienBaseDEX,1305129.593993441,{'Base': 1305129.593993441},Dexes
Moon Swap,https://moonswap.fi,"MoonSwap: High speed,0 GAS AMM DEX Based on Ethereum and Conflux.",['Conflux'],imMoonSwap,1304265.9541409935,{'Conflux': 1304265.9541409935},Dexes
Glide Finance,https://glidefinance.io,"Glide Finance is a Decentralized Exchange / Automated Market Maker, Yield Farming, and Staking platform running on the Elastos Smart Chain (ESC) that aims to accelerate adoption of the Elastos ecosystem by acting as a source of liquidity for users and the projects built on it.",['Elastos'],GlideFinance,1289209.6432276946,"{'Elastos': 1289209.6432276946, 'Elastos-staking': 128224.22663877087, 'staking': 128224.22663877087}",Dexes
Maia V3,https://uni.maiadao.io/#/swap,Fork of Uniswap V3 on Metis network,['Metis'],MaiaDAOEco,1287824.7635658286,{'Metis': 1287824.7635658286},Dexes
DDEX,https://ddex.io/,"A decentralized margin exchange built on Ethereum. Trade ETH and BTC with up to 5x leverage. Lend to earn interest.
",['Ethereum'],ddexio2018,1253031.7429607487,{'Ethereum': 1253031.7429607487},Dexes
Zyberswap V3,https://www.zyberswap.io/,"ZyberSwap V3's Concentrated Liquidity feature allows liquidity providers to focus their liquidity within a specific price range, resulting in increased capital efficiency and reduced impermanent loss. This feature is particularly beneficial for those looking to optimize their investment strategy and maximize returns, as it allows for more precise tracking of Total Value Locked (TVL) within a designated price range.","['Arbitrum', 'Optimism']",ZyberSwap,1249298.6045859838,"{'Optimism': 35805.750760548726, 'Arbitrum': 1213492.853825435}",Dexes
Astrovault,https://astrovault.io,"DeFi, Sustainably.",['Archway'],axvdex,1191380.5593655321,{'Archway': 1191380.5593655321},Dexes
MCDEX,https://mux.network/,"MCDEX is a permissionless AMM-based decentralized perpetual swap protocol. MCDEX has ceased operation, and the remaining TVL on the platform is from user deposits.","['Ethereum', 'Arbitrum', 'Binance']",muxprotocol,1154054.646218356,"{'Binance': 11404.776954606228, 'Ethereum': 1126784.295451067, 'Arbitrum': 15865.573812682895}",Dexes
Kromatika,https://app.kromatika.finance/limitorder#/pool,Next generation order book limit trading on Uniswap.,"['Optimism', 'Ethereum', 'Arbitrum', 'Polygon']",KromatikaFi,1148463.5482758128,"{'Optimism': 981572.2256458816, 'Optimism-staking': 5569.974500829824, 'Arbitrum-staking': 16240.15978110757, 'Ethereum': 127897.15116563685, 'Ethereum-staking': 14700.065238220268, 'Polygon': 3.8606873999999993, 'Polygon-staking': 100.43884083915196, 'Arbitrum': 38990.3107768942, 'staking': 36610.63836099682}",Dexes
EmpireDEX,https://ecc.capital/swap,#EmpireDEX is a Multi-Chain DEX Protocol,"['Binance', 'Cronos', 'Empire', 'Ethereum', 'Fantom', 'xDai', 'Polygon', 'Avalanche', 'Kava']",Empire_DEX,1134263.610677638,"{'Empire': 69461.66619452581, 'Kava': 610.1081633679374, 'Cronos': 142234.64775269353, 'Binance': 694112.6465637616, 'Ethereum': 56255.84429541005, 'xDai': 46045.67099205231, 'Avalanche': 28008.32686457853, 'Polygon': 41302.41706969538, 'Fantom': 56232.282781552945}",Dexes
SolidLizard,https://solidlizard.finance/,"SolidLizard is an Arbitrum One decentralized exchange that allows swaps at a low cost in swap fees and has a governance structure based on the ve(3,3) system",['Arbitrum'],solidlizardfi,1124714.749359418,{'Arbitrum': 1124714.749359418},Dexes
HorizonDEX,https://horizondex.io,"HorizonDEX is a Concantrated Liquidity DEX which let users allocate liqudiity within a custom price range, enabling traders to maximize their efficiency and minimize slippage","['Linea', 'Base']",horizondex_io,1065627.1847416125,"{'Linea': 698882.1816977198, 'Base': 366745.0030438927}",Dexes
Elk,https://elk.finance,"Elk Finance is building Web3 infrastructure for cross-chain value and data transfer via ElkNet - our decentralized bridge. Our motto is Any chain, anytime, anywhere.","['Polygon', 'Avalanche', 'Binance', 'Elastos', 'xDai', 'Arbitrum', 'Cronos', 'Fantom', 'Ethereum', 'Optimism', 'IoTeX', 'Kucoin', 'Kava', 'Fuse', 'Heco', 'Telos', 'Bittorrent', 'OKExChain', 'Moonriver', 'Harmony', 'Hoo']",elk_finance,1050312.503483236,"{'Optimism': 23342.829168948047, 'Kava': 15143.289249469553, 'Moonriver': 4217.9876750829535, 'Harmony': 4020.2169139306225, 'Binance': 154778.79151506023, 'IoTeX': 18179.12451357094, 'Ethereum': 27914.582088870946, 'xDai': 70412.88711748294, 'Heco': 12552.003091634626, 'Avalanche': 194386.84368421393, 'Telos': 9411.203233031496, 'Arbitrum': 50868.01283052381, 'Fuse': 13541.89771037353, 'Fantom': 34953.334243924925, 'Cronos': 50630.948037747534, 'OKExChain': 7535.143377853563, 'Hoo': 0, 'Kucoin': 15438.51744081541, 'Bittorrent': 8451.67191253035, 'Elastos': 136801.73203301113, 'Polygon': 197731.4876451597}",Dexes
Hashflow,https://www.hashflow.com,The most powerful DeFi trading experience. Tight spreads. Zero slippage. MEV-resistant,"['Ethereum', 'Arbitrum', 'Polygon', 'Binance', 'Optimism', 'Avalanche']",hashflow,1048980.6089210713,"{'Optimism': 19866.0844664849, 'Binance': 21637.63170573449, 'Ethereum': 865755.8196333809, 'Avalanche': 10796.553679056511, 'Polygon': 52441.99577405606, 'Arbitrum': 78482.5236623585}",Dexes
DeepBook,https://sui-deepbook.com,"DeepBook is a decentralized central limit order book (CLOB) built for the Sui ecosystem. DeepBook provides a one-stop shop for trading digital assets, with a technical design built for Sui’s architecture. DeepBook leverages Sui’s performance and delivers a low latency and high throughput execution engine to spread liquidity across the DeFi ecosystem.",['Sui'],DeepBookonSui,1029256.3359120279,{'Sui': 1029256.3359120279},Dexes
Paraluni Dex,https://paraluni.org,AMM on BNB Chain,['Binance'],paraluni,1001577.732000521,{'Binance': 1001577.732000521},Dexes
Fusion Dex,https://fusion.novanetwork.io,A fully decentralized protocol for automated liquidity provision on Fantom and Nova.,"['Nova Network', 'Fantom', 'EthereumClassic']",NovaFinOfficial,987085.9772313411,"{'EthereumClassic-staking': 0, 'Fantom-staking': 0, 'Nova Network': 986411.8832000713, 'Nova Network-staking': 0, 'EthereumClassic': 17.532469927845725, 'Fantom': 656.5615613420283, 'staking': 0}",Dexes
Smoothy,https://smoothy.finance/,Smoothy is a novel single pool liquidity protocol specialized in same backed assets with low-cost zero-slippage swapping and maximized interest earning.,"['Ethereum', 'Binance']",smoothswap,986796.5256748988,"{'Binance': 228756.03571838446, 'Ethereum': 758040.4899565143}",Dexes
Kagla Finance,https://kagla.finance,The biggest native stable swap on Astar Network boosting.,['Astar'],kagla_fi,982857.4165174048,"{'Astar': 982857.4165174048, 'Astar-staking': 3760.860949740322, 'staking': 3760.860949740322}",Dexes
OasisSwap,https://swap.trident.game/#/swap,"Official Dex for Trident, a 2D MMO, procedurally-generated infinite universe video game on Arbitrum","['Arbitrum', 'Base']",OasisSwapDEX,976582.3430247919,"{'Arbitrum-staking': 222985.30075081336, 'Arbitrum': 763034.4552070188, 'Base': 213547.88781777318, 'staking': 222985.30075081336}",Dexes
Turbos,https://app.turbos.finance/,A hyper-efficient decentralized crypto marketplace built on Sui,['Sui'],Turbos_finance,974122.5352280363,{'Sui': 974122.5352280363},Dexes
Voltage,https://app.voltage.finance/,"Built atop the powerful Fuse blockchain and ecosystem, Voltage enables anyone to carry the power of DeFi in their pocket.",['Fuse'],voltfinance,970873.5576798008,"{'Fuse-borrowed': 5953002.289829158, 'Fuse-staking': 16115.137063273214, 'borrowed': 5953002.289829158, 'Fuse': 970873.5576798008, 'staking': 16115.137063273214}",Dexes
Penguin,https://png.fi,"A Liquidity-as-a-Service Platform, built on Solana.",['Solana'],png_fi,961648.935414689,{'Solana': 961648.935414689},Dexes
Demex,https://app.dem.exchange/,The first fully decentralized DEX that supports any type of financial market.,['Carbon'],demexchange,959930.2112826499,{'Carbon': 959930.2112826499},Dexes
YuzuSwap,https://yuzu-swap.com,YuzuSwap is a decentralized exchange on the Oasis Emerald paratime that includes incentives like liquidity & and trade mining,['Oasis'],Yuzu_Swap,935183.0401964178,{'Oasis': 935183.0401964178},Dexes
RocketSwap Base,https://app.rocketswap.cc/exchange/swap,"RocketSwap is the first community initiated and driven decentralized exchange on Base Mainnet Network, and will gradually become community owned through DAO.",['Base'],,933005.746194601,{'Base': 933005.746194601},Dexes
FlowX Finance,https://flowx.finance,FlowX Finance is the ecosystem-focused decentralized exchange built on the Sui Blockchain.,['Sui'],FlowX_finance,931804.0108810556,{'Sui': 931804.0108810556},Dexes
Carbon Defi,https://app.carbondefi.xyz/,Carbon is a decentralized trading protocol allowing users to perform automated trading strategies using custom on-chain limit orders and range orders,['Ethereum'],carbondefixyz,930796.8757331488,{'Ethereum': 930796.8757331488},Dexes
MM Finance Polygon,https://polymm.finance/,Launchpad for the largest ecosystem on Cronos coming to Polygon!,['Polygon'],DrachmaExchange,929116.7320539333,"{'Polygon': 929116.7320539333, 'Polygon-staking': 48261.69198370703, 'staking': 48261.69198370703}",Dexes
Chronos V2,https://app.chronos.exchange/,Chronos is a community-owned decentralized exchange (DEX) and liquidity provider constructed on Arbitrum,['Arbitrum'],ChronosFi_,920457.9941667111,{'Arbitrum': 920457.9941667111},Dexes
NiiFi,https://www.niifi.com/,"NiiFi is built on nahmii, a patent-pending scaling technology allowing for instant finality, low cost and predictable gas/transaction fees, interoperability, and composability. NiiFi has been built with the future in mind.",['Nahmii'],NiiFiDAO,903971.0153250475,{'Nahmii': 903971.0153250475},Dexes
Bitindi Dex,https://dex.bitindi.org/#/swap,Dexes on bitindi chain,['Bitindi'],bitindichain,885467.1690037326,{'Bitindi': 885467.1690037326},Dexes
ArcherSwap,https://archerswap.finance,"ArcherSwap is a crypto world for users to trade, earn, and game. It is the premier choice for projects on Core Chain with features including AMM, NFT, and GameFi.",['CORE'],archerswapcore,883101.8376757327,{'CORE': 883101.8376757327},Dexes
Terraswap,https://terraswap.io,Terraswap is a Uniswap-inspired automated market-maker (AMM) protocol implemented with smart contracts on the Terra blockchain. This enables a decentralized on-chain exchange for the various assets involved in Terra ecosystem.,"['Terra', 'Terra2']",terraswap_io,873715.8420784567,"{'Terra': 709107.3845593188, 'Terra2': 164608.45751913788}",Dexes
TangoSwap,https://tangoswap.cash/swap,Decentralized exchange DEX (Swap - Staking - Farming) on SmartBCH.,['smartBCH'],TangoSwapCash,871751.7715028236,"{'smartBCH-staking': 62541.8771562, 'smartBCH': 871751.7715028236, 'staking': 62541.8771562}",Dexes
Rubicon,https://app.rubicon.finance/swap,An on-chain order book protocol for Ethereum. Built on leading L2 networks.,"['Optimism', 'Arbitrum']",rubicondefi,866886.5751692526,"{'Optimism': 851136.0367311044, 'Arbitrum': 15750.538438148225}",Dexes
Selfex,https://app.selfex.app,Selfex is A BlockChain-Decentralized Exchange & Forex. Selfex is a KAVA chain StableSwap DEX & Forex Market.,['Kava'],,836282.0792830053,{'Kava': 836282.0792830053},Dexes
Noah Swap,https://noahark.pro,Best DeFi on EOS  EVM,['EOS EVM'],Noah_DeFi,823745.4227866138,{'EOS EVM': 823745.4227866138},Dexes
QuipuSwap Stableswap,https://quipuswap.com,"Stable DEX, as a part of the growing QuipuSwap ecosystem, provides a platform for price-efficient and low-risk stablecoin or equal-price token trading",['Tezos'],QuipuSwap,821884.7634950154,{'Tezos': 821884.7634950154},Dexes
LFGSwap Core,https://app.lfgswap.finance/?chainId=1116,AMM DEX on CORE,['CORE'],LfgSwap,814130.6896392249,{'CORE': 814130.6896392249},Dexes
ICPSwap,https://app.icpswap.com/,"ICPSwap is the native and earliest decentralized exchange (DEX) on the ICP ecosystem, providing comprehensive financial, market, and DAO services",['ICP'],ICPSwap,808037.7052342031,{'ICP': 808037.7052342031},Dexes
Solidly V2,https://solidly.com,"Self-optimizing DEX combining the best of Curve, Uniswap and ve(3,3)",['Ethereum'],SolidlyLabs,807180.2059080343,"{'Ethereum': 807180.2059080343, 'Ethereum-staking': 39574760.9635096, 'staking': 39574760.9635096}",Dexes
eckoDAO,http://ecko.finance/,eckoDAO the evolution of DeFi on Kadena.,['Kadena'],eckoDAO,791191.3117538347,"{'Kadena-staking': 1499673.6956536714, 'Kadena': 791191.3117538347, 'staking': 1499673.6956536714}",Dexes
OpenOcean,https://openocean.finance,"OpenOcean is the world's first full aggregation protocol for crypto trading that source liquidity from DeFi and CeFi, and enable cross-chain swaps.","['Binance', 'Ethereum', 'Avalanche', 'Polygon', 'Kava']",OpenOceanGlobal,786818.099468189,"{'Kava': 0, 'Binance': 751731.9057254439, 'Ethereum': 17816.528834345107, 'Binance-staking': 225622.89876836518, 'Avalanche': 13757.119985393949, 'Avalanche-staking': 0, 'Ethereum-staking': 685.443789932816, 'Polygon': 3512.5449230060963, 'staking': 226308.342558298}",Dexes
Astroport Classic,https://astroport.fi,The meta AMM of Cosmos,['Terra'],astroport_fi,783702.3341624544,{'Terra': 783702.3341624544},Dexes
Forge,https://app.forge.trade,Forge is a community-owned Dex on Evmos with no protocol fees and concentrated liquidity.,['Evmos'],forgeDEX,779776.5609909007,{'Evmos': 779776.5609909007},Dexes
Glacier Finance,https://glacier.exchange/,"Glacier Finance is a community-driven ve(3,3) trading and liquidity hub, governed by veGLCR and living on the Avalanche C-Chain",['Avalanche'],Glacier_Fi,778285.01146042,"{'Avalanche': 778285.01146042, 'Avalanche-staking': 137685.59778409745, 'staking': 137685.59778409745}",Dexes
WYND DEX,https://dex.wynddao.com/pools,WYND DEX took most of Junoswap's liquidity by a bipartisan on-chain proposal similar to a corporate M&A deal. 80-90% of liquidity from Junoswap has now been migrated to WYND DEX now,['Juno'],wynddao,753487.4606372266,"{'Juno-staking': 233467.73582834855, 'Juno': 753487.4606372266, 'staking': 233467.73582834855}",Dexes
Swarm Markets,https://swarm.markets,Swarm Markets is the world's first licensed* high-liquidity DeFi protocol — the convenience and transparency of DeFi with the confidence of financial market compliance.,"['Ethereum', 'Polygon']",SwarmMarkets,742883.1170728651,"{'Ethereum': 546615.3782470166, 'Polygon': 196267.73882584862}",Dexes
Karura Swap,https://acala.network/karura,"Karura Swap is a trustless, automated market maker (AMM)-styled decentralized exchange on the Karura network.",['Karura'],KaruraNetwork,737279.8363219614,{'Karura': 737279.8363219614},Dexes
SecretSwap,https://secretswap.net,"SecretSwap is the first front-running resistant, cross-chain and privacy-first AMM - secured by Secret Network.",['Secret'],secret_swap,730411.6875026465,{'Secret': 730411.6875026465},Dexes
MiaSwap,https://miaswap.io/,Top #1 AMM DEX built on ONUS Chain with strong liquidity and a wide range of permissionless liquidity products and solutions.,['Onus'],MiaSwap,729999.2655521511,{'Onus': 729999.2655521511},Dexes
IcecreamSwap,https://icecreamswap.com/,The first Swap on the Bitgert (Brise) Blockchain,"['CORE', 'Bitgert', 'XDC', 'Telos', 'Dogechain', 'Fuse']",icecream_swap,729352.0157913237,"{'Bitgert': 152739.16207215478, 'Dogechain': 876.4616776886434, 'XDC': 35238.97682448124, 'Telos': 23413.280202423528, 'Fuse': 0.09369577781361459, 'CORE': 517084.04131879774}",Dexes
VaporDex,https://www.vapordex.io,The World  Most Rewarding DEX. Automatically earn rewards that boost your savings just by using VaporDEX.,['Avalanche'],Vapor_DEX,726206.5873348175,{'Avalanche': 726206.5873348175},Dexes
BlockNG,https://blockng.money,"BlockNG is a non-profit organization formed by a group of early evangelists of blockchain, dedicated to using the digital economy to reconstruct human society. LAW is a token used in the next-generation blockchain economic system that is completely decentralized and distributed by BlockNG.",['smartBCH'],BlockngO,718320.4112198709,"{'smartBCH-staking': 230099.86352462292, 'smartBCH-pool2': 98425.7926954089, 'pool2': 98425.7926954089, 'smartBCH': 718320.4112198709, 'staking': 230099.86352462292}",Dexes
JetSwap,https://jetswap.finance,"Jetfuel ecosystem is an all-in-one Defi that's meant to be a one-stop-shop for users, it accounts with an AMM & Yield Farming on Jetswap, Lending/borrowing markets on Fortress, a Yield optimizer on Jetfuel.","['Binance', 'Polygon', 'Fantom']",Jetfuelfinance,714721.1986454133,"{'Fantom-staking': 0, 'Binance': 455952.19205267006, 'Binance-staking': 0, 'Polygon': 249790.27330400472, 'Polygon-staking': 0, 'Fantom': 8978.733288738444, 'staking': 0}",Dexes
Lynex,https://app.lynex.fi/,"Linea's native on-chain liquidity marketplace. Powered by cutting-edge DEX infrastructure, it offers a highly capital-efficient DeFi solution",['Linea'],LynexFi,706113.7268976404,{'Linea': 706113.7268976404},Dexes
MojitoSwap,https://www.mojitoswap.finance,"Mojito Finance is a decentralized exchange running on KCC, with lots of features that let you earn and win tokens. It is fast, cheap and easily accessible as it is not difficult to use. It has currently opened Trade ,Bar (Farm) and Wine Pools. Other functions are on the way. And it will continue to launch interesting functions such as Cocktail Tickets and NFT in the future.",['Kucoin'],MojitoSwap,699837.7395167216,"{'Kucoin-staking': 716589.9890245374, 'Kucoin': 699837.7395167216, 'staking': 716589.9890245374}",Dexes
SnowSwap,https://snowswap.org/,SnowSwap is designed for low slippage stablecoin swaps and is based on Curve's AMM.,"['Ethereum', 'Polygon']",snow_swap,693010.0885820286,"{'Ethereum': 621521.0346344734, 'Polygon': 71489.05394755525, 'Ethereum-staking': 1857.674254061359, 'staking': 1857.674254061359}",Dexes
eZKalibur,https://ezkalibur.com,eZKalibur is the first ecosystem-focused and community-driven DEX built on zkSync Era.,['zkSync Era'],zkaliburDEX,678587.7552377447,"{'zkSync Era': 678587.7552377447, 'zkSync Era-staking': 171622.85474545025, 'staking': 171622.85474545025}",Dexes
